time,脱硫塔出口氧量,脱硫塔出口SO2
2019-06-13 19:00:00,17.564100000000025,76.28819999999999
2019-06-13 19:01:00,19.918186666666667,25.68987999999999
2019-06-13 19:02:00,19.46202933333333,37.082631333333325
2019-06-13 19:03:00,19.005871999999997,48.47538266666666
2019-06-13 19:04:00,18.54971466666666,59.868134
2019-06-13 19:05:00,18.093557333333326,71.26088533333333
2019-06-13 19:06:00,17.63739999999999,82.65363666666667
2019-06-13 19:07:00,17.633130000000005,82.28410666666669
2019-06-13 19:08:00,17.628656666666654,82.08709666666665
2019-06-13 19:09:00,17.624996666666643,81.28286999999999
2019-06-13 19:10:00,17.625403333333313,76.25397
2019-06-13 19:11:00,17.62479333333331,77.52706333333334
2019-06-13 19:12:00,17.622556666666654,73.80546
2019-06-13 19:13:00,17.62032,75.84859333333333
2019-06-13 19:14:00,17.621133333333322,77.40171333333332
2019-06-13 19:15:00,17.619913333333326,78.07246333333335
2019-06-13 19:16:00,17.618043333333326,78.26291666666667
2019-06-13 19:17:00,17.60720666666668,80.84655666666667
2019-06-13 19:18:00,17.602123333333317,78.31664333333333
2019-06-13 19:19:00,17.600496666666654,80.10745666666666
2019-06-13 19:20:00,17.60110666666665,77.20635333333333
2019-06-13 19:21:00,17.60273333333333,77.04192333333333
2019-06-13 19:22:00,17.59541333333334,78.91576333333335
2019-06-13 19:23:00,17.59460000000001,78.11151666666667
2019-06-13 19:24:00,17.587483333333335,76.31257666666667
2019-06-13 19:25:00,17.586263333333328,79.10785666666666
2019-06-13 19:26:00,17.588093333333326,80.78794333333333
2019-06-13 19:27:00,17.583619999999996,81.53032666666665
2019-06-13 19:28:00,17.583620000000003,80.36304666666668
2019-06-13 19:29:00,17.581789999999987,79.80301666666666
2019-06-13 19:30:00,17.57142000000001,82.90599
2019-06-13 19:31:00,17.566133333333358,83.10949666666666
2019-06-13 19:32:00,17.56532000000002,84.05210333333333
2019-06-13 19:33:00,17.55779666666666,84.17419333333332
2019-06-13 19:34:00,17.550069999999998,82.95319666666667
2019-06-13 19:35:00,17.551900000000014,81.80056
2019-06-13 19:36:00,17.55515333333333,81.76638666666668
2019-06-13 19:37:00,17.557999999999996,83.38461333333335
2019-06-13 19:38:00,17.557999999999996,83.81279666666667
2019-06-13 19:39:00,17.557999999999996,82.07733333333333
2019-06-13 19:40:00,17.557999999999996,78.13430333333332
2019-06-13 19:41:00,17.557999999999996,78.08384333333333
2019-06-13 19:42:00,17.557999999999996,79.94951666666667
2019-06-13 19:43:00,17.55881333333333,79.74766
2019-06-13 19:44:00,17.56166000000001,80.48678333333334
2019-06-13 19:45:00,17.562066666666688,79.28369
2019-06-13 19:46:00,17.56552333333335,79.99512333333334
2019-06-13 19:47:00,17.565523333333356,79.05412666666665
2019-06-13 19:48:00,17.56410000000003,80.37118333333333
2019-06-13 19:49:00,17.56410000000003,85.29101333333334
2019-06-13 19:50:00,17.56450666666669,82.89295666666668
2019-06-13 19:51:00,17.565930000000012,77.53846
2019-06-13 19:52:00,17.569793333333337,78.06103999999999
2019-06-13 19:53:00,17.5702,77.62637666666667
2019-06-13 19:54:00,17.5702,77.15262
2019-06-13 19:55:00,17.56898000000001,76.63492666666667
2019-06-13 19:56:00,17.568370000000016,75.62392333333334
2019-06-13 19:57:00,17.567353333333344,74.99225999999999
2019-06-13 19:58:00,17.56755666666669,74.74157
2019-06-13 19:59:00,17.548443333333328,75.26089
2019-06-13 20:00:00,17.546003333333324,73.92104333333332
2019-06-13 20:01:00,17.561596249999994,74.48046583333331
2019-06-13 20:02:00,17.57718916666666,75.03988833333332
2019-06-13 20:03:00,17.592782083333326,75.59931083333332
2019-06-13 20:04:00,17.608374999999995,76.15873333333332
2019-06-13 20:05:00,17.623967916666665,76.71815583333331
2019-06-13 20:06:00,17.63956083333333,77.27757833333331
2019-06-13 20:07:00,17.655153749999997,77.83700083333332
2019-06-13 20:08:00,17.670746666666666,78.39642333333332
2019-06-13 20:09:00,17.63719666666666,80.59258999999999
2019-06-13 20:10:00,17.626419999999978,83.93489
2019-06-13 20:11:00,17.61414999999999,83.55556
2019-06-13 20:12:00,17.595616666666654,83.98211666666666
2019-06-13 20:13:00,17.58524666666666,84.32072333333333
2019-06-13 20:14:00,17.581383333333324,85.52218333333333
2019-06-13 20:15:00,17.596226666666652,85.72895333333332
2019-06-13 20:16:00,17.60598666666668,86.46317333333332
2019-06-13 20:17:00,17.606800000000018,86.04803666666668
2019-06-13 20:18:00,17.607410000000012,82.87667333333333
2019-06-13 20:19:00,17.60903666666666,80.98818999999999
2019-06-13 20:20:00,17.608426666666677,82.44200666666667
2019-06-13 20:21:00,17.60110666666666,85.12659
2019-06-13 20:22:00,17.59663333333334,82.15872999999999
2019-06-13 20:23:00,17.598259999999993,82.39967666666665
2019-06-13 20:24:00,17.599276666666665,80.78959
2019-06-13 20:25:00,17.65387,79.89743333333332
2019-06-13 20:26:00,17.67989666666666,80.51609666666667
2019-06-13 20:27:00,17.687216666666664,81.38380333333333
2019-06-13 20:28:00,17.685386666666666,81.61659666666667
2019-06-13 20:29:00,17.68213333333334,78.23199
2019-06-13 20:30:00,17.688640000000007,79.02971000000001
2019-06-13 20:31:00,17.69413000000001,81.40659
2019-06-13 20:32:00,17.688843333333327,76.20676333333334
2019-06-13 20:33:00,17.68925000000001,76.11395666666668
2019-06-13 20:34:00,17.688843333333338,78.73179333333333
2019-06-13 20:35:00,17.68843666666667,81.82009999999998
2019-06-13 20:36:00,17.688436666666675,81.35775333333333
