time,TE_1003,q3,q1,slope,iqr,diff,temp,label
2019-06-13 19:00:00,-1.6282000000000068,-1.6282000000000068,-1.6282000000000068,0.0,0.0,1.4834999999999923,-1.6282000000000068,0.0
2019-06-13 19:01:00,-1.6367416666666728,-1.6303354166666733,-1.6346062500000063,-0.008541666666666,0.004270833333333002,1.5891224999999913,-1.6282000000000068,0.0
2019-06-13 19:02:00,-1.66603833333334,-1.6324708333333398,-1.6513900000000064,-0.01891916666666659,0.018919166666666598,1.6764255555555512,-1.6282000000000068,0.0
2019-06-13 19:03:00,-1.607453333333332,-1.623013333333338,-1.6440658333333396,0.003294333333335686,0.021052500000001473,1.7316799999999954,-1.607453333333332,0.0
2019-06-13 19:04:00,-1.5922033333333374,-1.607453333333332,-1.6367416666666728,0.010128166666667935,0.029288333333340688,1.7630019999999973,-1.5922033333333374,0.0
2019-06-13 19:05:00,-2.1123183333333273,-1.6126400000000007,-1.6587141666666732,-0.0636683333333311,0.04607416666667241,1.851035277777773,-1.5922033333333374,0.0
2019-06-13 19:06:00,-3.6611616666666578,-1.6178266666666694,-1.8891783333333336,-0.2491501190476164,0.2713516666666642,1.9427838095238041,-1.5922033333333374,0.0
2019-06-13 19:07:00,-4.549448333333338,-1.623013333333338,-2.49952916666666,-0.3796955753968239,0.8765158333333218,1.9260497916666628,-1.5922033333333374,0.0
2019-06-13 19:08:00,-4.837596666666663,-1.6282000000000068,-3.6611616666666578,-0.43451363888888755,2.032961666666651,1.8373324074074036,-1.5922033333333374,0.0
2019-06-13 19:09:00,-3.900478333333325,-1.6303354166666733,-3.8406491666666582,-0.3876047272727257,2.210313749999985,1.679849999999996,-1.5922033333333374,0.0
2019-06-13 19:10:00,-3.0244083333333336,-1.6324708333333398,-3.7808199999999914,-0.3045782878787869,2.1483491666666517,1.571148939393936,-1.5922033333333374,0.0
2019-06-13 19:11:00,-2.367516666666667,-1.6346062500000063,-3.7209908333333246,-0.21969880536130448,2.0863845833333183,1.4674393055555524,-1.5922033333333374,0.0
2019-06-13 19:12:00,-1.990834999999997,-1.6367416666666728,-3.6611616666666578,-0.14873712454212376,2.024419999999985,1.3829233333333302,-1.5922033333333374,0.0
2019-06-13 19:13:00,-1.8101233333333298,-1.6440658333333396,-3.5019733333333267,-0.09471981684981613,1.8579074999999872,1.3237380952380917,-1.5922033333333374,0.0
2019-06-13 19:14:00,-1.751531666666672,-1.6513900000000064,-3.3427849999999957,-0.055775779761904336,1.6913949999999893,1.2869334444444414,-1.5922033333333374,0.0
2019-06-13 19:15:00,-1.6593349999999987,-1.6536866666666672,-3.1835966666666646,-0.026453539215685908,1.5299099999999974,1.2643064583333303,-1.5922033333333374,0.0
2019-06-13 19:16:00,-1.6294333333333313,-1.6367416666666728,-3.0244083333333336,-0.00522542892156827,1.3876666666666608,1.2548656862745067,-1.5922033333333374,0.0
2019-06-13 19:17:00,-1.6013466666666645,-1.6312604166666667,-2.860185416666667,0.010255913312693835,1.2289250000000003,1.2545438888888856,-1.5922033333333374,0.0
2019-06-13 19:18:00,-1.578766666666688,-1.628816666666669,-2.6959625000000003,0.02153188596491223,1.0671458333333312,1.2582103508771907,-1.578766666666688,0.0
2019-06-13 19:19:00,-1.5128366666666793,-1.623013333333338,-2.5317395833333336,0.030381496240601293,0.9087262499999955,1.2669436666666651,-1.5128366666666793,0.0
2019-06-13 19:20:00,-1.5201666666666611,-1.607453333333332,-2.367516666666667,0.03644274675324665,0.7600633333333349,1.2795557142857124,-1.5128366666666793,0.0
2019-06-13 19:21:00,-1.470093333333331,-1.6028733333333314,-2.303717083333332,0.041156301524562344,0.7008437500000007,1.2947939393939374,-1.470093333333331,0.0
2019-06-13 19:22:00,-1.4475016666666534,-1.596775000000001,-2.239917499999997,0.04454091238471684,0.6431424999999962,1.3134574637681136,-1.4475016666666534,0.0
2019-06-13 19:23:00,-1.473156666666675,-1.588844166666675,-2.176117916666662,0.04644510362318842,0.5872737499999872,1.331888819444442,-1.4475016666666534,0.0
2019-06-13 19:24:00,-1.5073483333333328,-1.578766666666688,-2.1123183333333273,0.04718310384615386,0.5335516666666393,1.3534367999999972,-1.4475016666666534,0.0
2019-06-13 19:25:00,-1.4303983333333292,-1.5348166666666678,-2.0819474999999947,0.04801782962962967,0.5471308333333269,1.3681612179487148,-1.4303983333333292,0.0
2019-06-13 19:26:00,-1.4187966666666583,-1.5165016666666702,-2.051576666666662,0.048391293243793376,0.535074999999992,1.382540308641972,-1.4187966666666583,0.0
2019-06-13 19:27:00,-1.433461666666659,-1.5114645833333427,-2.0212058333333296,0.04822431490603921,0.5097412499999869,1.3975930952380922,-1.4187966666666583,0.0
2019-06-13 19:28:00,-1.436505000000004,-1.5073483333333328,-1.990834999999997,0.04773601067323494,0.4834866666666642,1.4155870689655143,-1.4187966666666583,0.0
2019-06-13 19:29:00,-1.4126983333333314,-1.4817045833333395,-1.9456570833333302,0.04718468372265491,0.46395249999999066,1.432606111111108,-1.4126983333333314,0.0
2019-06-13 19:30:00,-1.3565199999999962,-1.471625000000003,-1.9004791666666634,0.04678779301075281,0.4288541666666603,1.4465572043010717,-1.3565199999999962,0.0
2019-06-13 19:31:00,-1.4597083333333174,-1.4674970833333276,-1.8553012499999966,0.04560867210410579,0.38780416666666895,1.4630139062499958,-1.3565199999999962,0.0
2019-06-13 19:32:00,-1.451164999999996,-1.4597083333333174,-1.8101233333333298,0.04443311553030324,0.35041500000001236,1.477584747474743,-1.3565199999999962,0.0
