time,TE_1003a,TE_1003b,TE_1003c,PT_4001,TE_1003,label
2019-07-01 00:00:00,60.35775666666667,60.59951,60.17582666666667,0.20932,60.26679166666667,0.0
2019-07-01 00:01:00,60.62269333333334,60.810750000000006,60.49693666666666,0.20919333333333337,60.55981499999999,0.0
2019-07-01 00:02:00,60.91452999999999,60.923086666666656,60.51769333333332,0.20940333333333336,60.70207666666665,0.0
2019-07-01 00:03:00,61.05008000000001,60.97069666666667,60.70572999999999,0.20947666666666664,60.83821333333333,0.0
2019-07-01 00:04:00,61.148950000000006,61.08179333333334,60.80221333333333,0.20996666666666672,60.94200333333333,0.0
2019-07-01 00:05:00,61.346763333333335,61.123310000000004,60.85471333333333,0.20934666666666665,60.98901166666667,0.0
2019-07-01 00:06:00,61.46277,61.13307333333333,60.79121999999999,0.20956666666666665,60.962146666666655,0.0
2019-07-01 00:07:00,61.570233333333334,61.240536666666664,60.943846666666666,0.20987333333333336,61.09219166666667,1.0
2019-07-01 00:08:00,61.637373333333336,61.20391000000001,60.88035333333334,0.2098066666666667,61.04213166666665,1.0
2019-07-01 00:09:00,61.73014666666668,61.180703333333334,60.76435333333333,0.2087433333333333,60.97252833333332,1.0
2019-07-01 00:10:00,61.266196666666666,60.35287,58.310143333333336,0.2088,59.331506666666655,1.0
2019-07-01 00:11:00,60.18679333333333,59.5702,57.638600000000004,0.20920000000000002,58.604400000000005,1.0
2019-07-01 00:12:00,60.01465000000001,59.95360333333333,59.06350666666666,0.20908000000000002,59.48901999999999,1.0
2019-07-01 00:13:00,60.260086666666666,60.451766666666664,59.942620000000005,0.20965000000000003,60.10135333333333,1.0
2019-07-01 00:14:00,60.537229999999994,60.672760000000004,60.203916666666665,0.21060333333333328,60.37057333333333,1.0
2019-07-01 00:15:00,60.800990000000006,60.879133333333336,60.44565666666666,0.20974000000000004,60.623323333333325,1.0
2019-07-01 00:16:00,60.95117333333334,60.94873666666667,60.57507666666667,0.2099,60.739925,1.0
2019-07-01 00:17:00,61.13432000000001,61.02320666666666,60.70207000000001,0.2099,60.86263833333334,1.0
2019-07-01 00:18:00,61.29917333333333,60.99389666666667,60.735043333333344,0.20994000000000002,60.864470000000004,1.0
2019-07-01 00:19:00,61.43102333333332,60.99268,60.79243333333334,0.2098466666666667,60.89255666666667,1.0
2019-07-01 00:20:00,61.52506333333333,60.95849666666666,60.813206666666666,0.20992666666666662,60.88585166666667,1.0
2019-07-01 00:21:00,61.63861666666668,60.99755,60.698400000000014,0.21045,60.84797500000001,1.0
2019-07-01 00:22:00,61.70087333333333,60.95115666666666,60.47617333333333,0.21016,60.713665,1.0
2019-07-01 00:23:00,61.29672333333334,60.294266666666665,58.35898,0.20987333333333333,59.326623333333345,1.0
2019-07-01 00:24:00,60.52136666666667,59.73137,58.0867,0.20953999999999998,58.909034999999996,1.0
2019-07-01 00:25:00,60.38826,60.16971,59.45176999999999,0.2096366666666667,59.808905,1.0
2019-07-01 00:26:00,60.54454666666667,60.545776666666676,60.010996666666664,0.20796666666666672,60.25823666666667,1.0
2019-07-01 00:27:00,60.75580333333334,60.69717333333333,60.304030000000004,0.20667,60.500601666666675,1.0
2019-07-01 00:28:00,60.918209999999995,60.807089999999995,60.472523333333335,0.2064166666666666,60.639806666666665,1.0
2019-07-01 00:29:00,61.10377666666667,60.879133333333336,60.56775,0.20606,60.723441666666666,1.0
2019-07-01 00:30:00,61.26254666666666,60.910873333333335,60.59705333333334,0.20498333333333338,60.75396333333333,1.0
2019-07-01 00:31:00,61.35531,60.90965666666667,60.70817333333334,0.2059,60.80891499999999,1.0
2019-07-01 00:32:00,61.493300000000005,60.96458666666667,60.72771333333335,0.2059,60.84615,1.0
2019-07-01 00:33:00,61.58977000000001,61.001216666666664,60.726490000000005,0.20604,60.86385333333333,1.0
2019-07-01 00:34:00,61.68255666666667,60.99755,60.75580666666667,0.20596,60.87667833333333,1.0
2019-07-01 00:35:00,61.66791333333333,60.97069666666667,60.76557666666667,0.20708999999999997,60.868136666666665,1.0
2019-07-01 00:36:00,61.76068,61.07812666666666,60.787553333333335,0.20655333333333328,60.93283999999999,1.0
2019-07-01 00:37:00,61.809523333333324,61.03539333333333,60.5824,0.20646999999999993,60.80889666666667,1.0
2019-07-01 00:38:00,61.49085333333333,60.487193333333344,58.764356666666664,0.20681666666666665,59.625775,1.0
2019-07-01 00:39:00,60.86324666666667,60.096473333333336,58.84005666666667,0.2059,59.468265,1.0
2019-07-01 00:40:00,60.666636666666676,60.390726666666666,59.700853333333335,0.20618999999999998,60.045790000000004,1.0
2019-07-01 00:41:00,60.71305666666667,60.659330000000004,60.107463333333335,0.20699,60.37728833333333,1.0
2019-07-01 00:42:00,60.85105666666667,60.765566666666665,60.25396333333333,0.20602333333333334,60.509764999999994,1.0
2019-07-01 00:43:00,61.052519999999994,60.787553333333335,60.36263333333333,0.20647666666666664,60.575093333333335,1.0
2019-07-01 00:44:00,61.29427666666667,60.871806666666664,60.39071333333333,0.20802666666666667,60.63126,1.0
2019-07-01 00:45:00,61.37851,60.85715333333332,60.49083333333332,0.2070766666666666,60.67399333333332,1.0
2019-07-01 00:46:00,61.53481666666667,60.89134333333332,60.53844666666666,0.20699666666666672,60.71489499999999,1.0
2019-07-01 00:47:00,61.62518666666667,60.93652,60.56286333333333,0.20750000000000002,60.74969166666667,1.0
2019-07-01 00:48:00,61.650823333333335,61.007323333333325,60.547,0.20708666666666667,60.77716166666667,1.0
